frame,timestamp,ball_x2d,ball_y2d,detected
230,3.837,,,0
232,3.871,4481,1469,1
234,3.904,4481,1469,1
236,3.937,4417,1408,1
238,3.971,4417,1408,1
240,4.004,2444,180,1
242,4.037,2444,180,1
244,4.071,4474,1433,1
246,4.104,4474,1433,1
248,4.137,2792,235,1
250,4.171,2792,235,1
252,4.204,2792,235,1
254,4.238,2792,235,1
256,4.271,2792,235,1
258,4.304,2792,235,1
508,8.475,2740,170,1
510,8.508,2740,170,1
512,8.542,2740,170,1
514,8.575,2748,172,1
516,8.609,2734,168,1
518,8.642,2734,168,1
520,8.675,2436,123,1
522,8.709,2436,123,1
524,8.742,2740,170,1
526,8.775,2748,172,1
528,8.809,2734,168,1
530,8.842,2734,168,1
532,8.876,2436,123,1
534,8.909,2436,123,1
536,8.942,2745,237,1
538,8.976,2745,237,1
540,9.009,2672,291,1
542,9.042,2672,291,1
544,9.076,,,0
546,9.109,,,0
548,9.142,,,0
550,9.176,,,0
552,9.209,,,0
554,9.243,,,0
556,9.276,,,0
558,9.309,,,0
560,9.343,,,0
562,9.376,,,0
564,9.409,,,0
566,9.443,,,0
568,9.476,,,0
570,9.51,,,0
572,9.543,,,0
574,9.576,2737,235,1
576,9.61,2737,235,1
578,9.643,,,0
580,9.676,,,0
582,9.71,,,0
584,9.743,,,0
586,9.776,,,0
588,9.81,,,0
590,9.843,,,0
592,9.877,,,0
594,9.91,,,0
596,9.943,,,0
598,9.977,2072,340,1
600,10.01,2075,340,1
602,10.043,2071,340,1
604,10.077,2073,340,1
606,10.11,2073,340,1
608,10.143,2072,340,1
610,10.177,2072,340,1
612,10.21,2072,340,1
614,10.244,2072,340,1
616,10.277,2072,340,1
618,10.31,2072,340,1
620,10.344,2072,340,1
622,10.377,2075,340,1
624,10.41,2071,340,1
626,10.444,,,0
628,10.477,,,0
630,10.511,,,0
632,10.544,,,0
634,10.577,,,0
636,10.611,,,0
638,10.644,,,0
640,10.677,,,0
642,10.711,,,0
644,10.744,,,0
646,10.777,,,0
648,10.811,,,0
650,10.844,,,0
652,10.878,,,0
654,10.911,,,0
656,10.944,,,0
658,10.978,3158,1237,1
660,11.011,3158,1237,1
662,11.044,,,0
664,11.078,,,0
666,11.111,,,0
668,11.144,,,0
670,11.178,,,0
672,11.211,,,0
674,11.245,,,0
676,11.278,,,0
678,11.311,,,0
680,11.345,,,0
682,11.378,,,0
684,11.411,,,0
686,11.445,,,0
688,11.478,,,0
690,11.511,,,0
692,11.545,2107,493,1
694,11.578,2150,508,1
696,11.612,1985,541,1
698,11.645,2004,550,1
700,11.678,2104,533,1
702,11.712,1981,559,1
704,11.745,2475,1016,1
706,11.778,2473,1016,1
708,11.812,2477,1015,1
710,11.845,2475,1016,1
712,11.879,2475,1016,1
714,11.912,2475,1016,1
716,11.945,2475,1016,1
718,11.979,544,974,1
720,12.012,544,974,1
722,12.045,544,974,1
724,12.079,543,973,1
726,12.112,544,974,1
728,12.145,,,0
730,12.179,543,973,1
732,12.212,544,974,1
734,12.246,543,973,1
736,12.279,544,974,1
738,12.312,543,973,1
740,12.346,544,974,1
742,12.379,547,975,1
744,12.412,544,974,1
746,12.446,,,0
748,12.479,,,0
750,12.513,,,0
752,12.546,,,0
754,12.579,,,0
756,12.613,,,0
758,12.646,,,0
760,12.679,1527,894,1
762,12.713,1527,894,1
764,12.746,,,0
766,12.779,,,0
768,12.813,,,0
770,12.846,,,0
772,12.88,,,0
774,12.913,,,0
776,12.946,2861,767,1
782,13.046,2864,769,1
784,13.08,2861,767,1
786,13.113,2861,767,1
