possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,result,outcome_score
108,green,692,719,28,0.47,111076.9,287.5,22.77,4,0,,0,,
142,white,790,801,12,0.2,125393.0,200.0,,0,0,,0,,
174,white,864,875,12,0.2,,200.0,,0,1,868,0,,
221,green,968,979,12,0.2,,614.7,,0,1,972,0,,
309,white,1160,1197,38,0.63,614622.5,437.2,-2.22,0,0,,0,,
310,green,1198,1241,44,0.73,53645.9,1548.5,3.21,2,1,1224,0,,
311,white,1242,1291,50,0.83,,200.0,,0,1,1284,0,,
314,white,1296,1305,10,0.17,,200.0,,0,1,1298,0,,
330,white,1394,1483,90,1.5,,200.0,,0,1,1476,0,,
345,white,1514,1531,18,0.3,,200.0,,0,1,1524,0,,
347,green,1534,1553,20,0.33,,328.5,,0,0,,0,,
348,white,1554,2133,580,9.68,,229.2,,0,1,1556,0,,
349,green,2134,2207,74,1.23,,975.4,,0,1,2138,0,,
383,white,2278,2287,10,0.17,,200.0,,0,0,,0,,
386,green,2292,2341,50,0.83,256874.5,334.6,,0,1,2334,0,,
387,white,2342,2345,4,0.07,,138.4,,0,0,,0,,
388,green,2346,2353,8,0.13,130375.0,622.5,,0,1,2350,0,,
389,white,2354,2357,4,0.07,2999.5,138.4,,0,0,,0,,
390,green,2358,2361,4,0.07,256874.5,264.2,,0,1,2360,0,,
391,white,2362,2373,12,0.2,,290.9,,0,1,2366,0,,
403,white,2396,2407,12,0.2,,200.0,,0,1,2400,0,,
408,white,2416,2439,24,0.4,,1147.7,,0,1,2418,0,,
469,green,2600,2611,12,0.2,256874.5,290.9,,0,1,2604,0,,
491,white,2654,2681,28,0.47,81753.5,412.0,,0,1,2674,0,,
511,white,2728,2739,12,0.2,,200.0,,0,0,,0,,
572,green,3654,3665,12,0.2,,267.4,,0,1,3658,0,,
630,white,3780,3795,16,0.27,,132.7,,0,0,,0,,
631,green,3796,3797,2,0.03,,3025.3,,0,0,,0,,
632,white,3798,3809,12,0.2,,168.6,,0,1,3802,0,,
655,white,3854,3865,12,0.2,71647.0,179.7,,0,1,3862,0,,
656,green,3866,3901,36,0.6,123608.0,228.7,,0,0,,0,,
