player_id,team,frames_tracked,tracking_pct,total_distance_px,avg_velocity,max_velocity,possession_frames,possession_pct,shots_attempted,drive_attempts,drive_rate,paint_frames,paint_pct,avg_dist_to_basket,avg_nearest_opponent
1,green,941,0.098,1570.2,1.67,283.94,60,0.064,4,4,0.0043,0,0.0,1176.2,672.9
2,green,773,0.081,2161.3,2.8,346.35,80,0.103,8,0,0.0,0,0.0,796.3,961.3
3,green,863,0.09,4026.4,4.67,255.77,48,0.056,11,2,0.0023,0,0.0,1518.3,634.6
4,green,1033,0.108,258.5,0.25,77.49,100,0.097,12,0,0.0,0,0.0,569.9,833.0
5,green,884,0.092,158.1,0.18,158.14,14,0.016,4,0,0.0,0,0.0,1046.4,778.1
6,white,782,0.081,1106.1,1.41,234.05,105,0.134,6,0,0.0,0,0.0,1595.5,831.1
7,white,912,0.095,2096.9,2.3,332.01,11,0.012,2,0,0.0,0,0.0,596.0,580.8
8,white,1093,0.114,696.3,0.64,205.43,57,0.052,12,0,0.0,0,0.0,1391.3,521.6
9,white,721,0.075,859.4,1.19,243.58,72,0.1,4,0,0.0,0,0.0,661.8,461.6
10,white,1119,0.117,15521.2,13.87,348.37,68,0.061,16,8,0.0071,130,0.116,608.5,1864.8
